,1,T033,Finding,4385
0,2.0,T023,"Body Part, Organ, or Organ Component",3151
1,3.0,T047,Disease or Syndrome,2119
2,4.0,T081,Quantitative Concept,1789
3,5.0,T169,Functional Concept,1581
4,6.0,T019,Congenital Abnormality,1537
5,7.0,T080,Qualitative Concept,1443
6,8.0,T082,Spatial Concept,1136
7,9.0,T046,Pathologic Function,897
8,10.0,T029,Body Location or Region,894
9,11.0,T184,Sign or Symptom,463
10,12.0,T079,Temporal Concept,376
11,13.0,T190,Anatomical Abnormality,317
12,14.0,T078,Idea or Concept,287
13,15.0,T191,Neoplastic Process,260
14,16.0,T030,Body Space or Junction,251
15,17.0,T170,Intellectual Product,235
16,18.0,T060,Diagnostic Procedure,194
17,19.0,T024,Tissue,184
18,20.0,T061,Therapeutic or Preventive Procedure,180
19,21.0,T042,Organ or Tissue Function,179
20,22.0,T067,Phenomenon or Process,175
21,23.0,T020,Acquired Abnormality,170
22,24.0,T022,Body System,161
23,25.0,T049,Cell or Molecular Dysfunction,146
24,26.0,T058,Health Care Activity,143
25,27.0,T073,Manufactured Object,143
26,28.0,T059,Laboratory Procedure,134
27,29.0,T116,"Amino Acid, Peptide, or Protein",125
28,30.0,T121,Pharmacologic Substance,121
29,31.0,T028,Gene or Genome,120
30,32.0,T077,Conceptual Entity,116
31,33.0,T025,Cell,114
32,34.0,T074,Medical Device,112
33,35.0,T048,Mental or Behavioral Dysfunction,111
34,36.0,T040,Organism Function,106
35,37.0,T026,Cell Component,105
36,38.0,T168,Food,99
37,39.0,T031,Body Substance,94
38,40.0,T032,Organism Attribute,76
39,41.0,T037,Injury or Poisoning,74
40,42.0,T039,Physiologic Function,72
41,43.0,T052,Activity,72
42,44.0,T123,Biologically Active Substance,71
43,45.0,T041,Mental Process,69
44,46.0,T201,Clinical Attribute,68
45,47.0,T109,Organic Chemical,60
46,48.0,T002,Plant,54
47,49.0,T044,Molecular Function,53
48,50.0,T100,Age Group,48
49,51.0,T034,Laboratory or Test Result,42
50,52.0,T098,Population Group,41
51,53.0,T204,Eukaryote,40
52,54.0,T070,Natural Phenomenon or Process,39
53,55.0,T126,Enzyme,39
54,56.0,T125,Hormone,38
55,57.0,T129,Immunologic Factor,36
56,58.0,T083,Geographic Area,32
57,59.0,T043,Cell Function,27
58,60.0,T056,Daily or Recreational Activity,26
59,61.0,T091,Biomedical Occupation or Discipline,24
60,62.0,T122,Biomedical or Dental Material,24
61,63.0,T185,Classification,23
62,64.0,T097,Professional or Occupational Group,22
63,65.0,T018,Embryonic Structure,22
64,66.0,T017,Anatomical Structure,18
65,67.0,T197,Inorganic Chemical,16
66,68.0,T099,Family Group,16
67,69.0,T054,Social Behavior,16
68,70.0,T127,Vitamin,16
69,71.0,T062,Research Activity,14
70,72.0,T055,Individual Behavior,13
71,73.0,T045,Genetic Function,12
72,74.0,T196,"Element, Ion, or Isotope",12
73,75.0,T057,Occupational Activity,11
74,76.0,T114,"Nucleic Acid, Nucleoside, or Nucleotide",10
75,77.0,T101,Patient or Disabled Group,10
76,78.0,T120,Chemical Viewed Functionally,10
77,79.0,T038,Biologic Function,9
78,80.0,T089,Regulation or Law,8
79,81.0,T015,Mammal,8
80,82.0,T118,Carbohydrate,8
81,83.0,T110,Steroid,8
82,84.0,T119,Lipid,7
83,85.0,T102,Group Attribute,6
84,86.0,T016,Human,6
85,87.0,T007,Bacterium,5
86,88.0,T167,Substance,5
87,89.0,T131,Hazardous or Poisonous Substance,5
88,90.0,T053,Behavior,4
89,91.0,T124,Neuroreactive Substance or Biogenic Amine,4
90,92.0,T092,Organization,4
91,93.0,T013,Fish,4
92,94.0,T192,Receptor,3
93,95.0,T130,"Indicator, Reagent, or Diagnostic Aid",3
94,96.0,T104,Chemical Viewed Structurally,3
95,97.0,T103,Chemical,3
96,98.0,T004,Fungus,3
97,99.0,T064,Governmental or Regulatory Activity,3
98,100.0,T090,Occupation or Discipline,2
99,101.0,T086,Nucleotide Sequence,2
100,102.0,T111,Eicosanoid,2
101,103.0,T195,Antibiotic,2
102,104.0,T171,Language,2
103,105.0,T051,Event,2
104,106.0,T005,Virus,2
105,107.0,T014,Reptile,1
106,108.0,T012,Bird,1
107,109.0,T200,Clinical Drug,1
108,110.0,T065,Educational Activity,1
109,111.0,T066,Machine Activity,1
110,112.0,T068,Human-caused Phenomenon or Process,1
111,,,,25648
